index,from,url,header
61,apnews,https://apnews.com//article/scott-morrison-australia-sydney-government-and-politics-dc475b4063ed3f2fd01fb00874f6b32c,Albanese elected Australia's leader in complex poll result
62,apnews,https://apnews.com//article/russia-ukraine-world-economic-forum-climate-government-and-politics-225c8769baa8fb5aa17f55024937dcf7,"Climate to conflict, Davos' post-COVID return has full plate"
63,apnews,https://apnews.com//article/baptist-religion-sexual-abuse-by-clergy-southern-convention-bfdbe64389790630488f854c3dae3fd5,Report: Top Southern Baptists stonewalled sex abuse victims
64,apnews,https://apnews.com//article/pfizer-covid-vaccine-children-under-5-bb01e939338991f83a84f5c1a2aabafa,Pfizer says 3 COVID shots protect children under 5
65,apnews,https://apnews.com//article/environment-new-york-obituaries-2034c8adac4a399518403ab0644138f7,Green options transforming a wedding industry prone to waste
66,apnews,https://apnews.com//article/entertainment-movies-costume-design-70250ca8d04595e979d049c65c56fea2,"Something old, something new — the costumes of Downton Abbey"
67,apnews,https://apnews.com//article/russia-ukraine-putin-moscow-helsinki-6f6ce1c5d65e643d76bcd66e5ebbd4ea,Russia cuts off gas exports to Finland in symbolic move
68,apnews,https://apnews.com//article/technology-chicago-education-data-privacy-4013e749b2d1cd57604b3e5e1db7f30e,"Breach exposed data of half-million Chicago students, staff"
69,apnews,https://apnews.com//article/elon-musk-spacex-sexual-misconduct-b875a5461cbd1201e6986fd2533c2c64,Musk denies sexual misconduct allegation by flight attendant
70,apnews,https://apnews.com//article/politics-technology-european-union-9c6336f7a160f502d7241e38cc5fba07,"European nations, streaming service delete extremist audio"
71,apnews,https://apnews.com//article/government-and-politics-race-ethnicity-philanthropy-black-lives-matter-5bc4772e029da522036f8ad2a02990aa,AP Exclusive: Black Lives Matter has $42 million in assets
72,apnews,https://apnews.com//article/russia-ukraine-war-crimes-schools-d1e52368aced8b3359f4436ca7180811,"War Crimes Watch: Targeting schools, Russia bombs the future"
73,apnews,https://apnews.com//article/china-prisons-uyghurs-religion-0dd1a31f9be29d32c584543af4698955,Uyghur county in China has highest prison rate in the world
74,apnews,https://apnews.com//article/russia-ukraine-kyiv-b63f3ab89fc9a042be8e149f3459db22,'This tears my soul apart': A Ukrainian boy and a killing
75,yleuutiset,https://yle.fi/uutiset/uutiset/3-12314941,"Venäjän YK-toimiston lä­he­tys­tö­neu­vos erosi – ""En ole koskaan hävennyt maatani näin paljon"""
76,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457232,Ukrainan ensimmäinen nainen Olena Zelenska paljasti harvinaisessa haas­tat­te­lus­sa: Ei nähnyt miestään yli kahteen kuukauteen
77,yleuutiset,https://yle.fi/uutiset/uutiset/3-12455805,"Moskovalaiset suhtautuvat tyynesti Suomen ja Ruotsin Nato-pyr­ki­myk­siin – ""Luotan Putinin sanaan"", perustelee Aleksandr Z-symboli rinnassaan"
78,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457156,Apinarokosta ei tule toista koronaa – iso­rok­ko­ro­ko­te tepsii ja Suomellakin on sitä varastossa
79,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457349,"Kunta-alan neuvottelut karilla, kouluja voi uhata lakko elokuussa – työntekijät halusivat takeita, ettei hoitajille makseta muita enemmän"
80,yleuutiset,https://yle.fi/uutiset/uutiset/3-12389665,"MS-tauti yleistyy, mutta syyt eivät ole täysin tiedossa – kehittyneet lääkkeet auttavat nyt erityisesti sairauden alkuvaiheessa"
81,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457139,Joe Biden ehdottaa uutta Tyynenmeren ta­lous­jär­jes­töä – mukana olisi Yhdysvallat mukaan lukien 13 maata 
82,yleuutiset,https://yle.fi/uutiset/uutiset/3-12454034,"Arkea maailmalta: Sota Ukrainassa nostaa hintoja, mutta Saksassa pai­kal­lis­lii­ken­ne on kesän ajan ennätyshalpaa – kuukausilippu yhdeksällä eurolla"
83,yleuutiset,https://yle.fi/uutisethttps://yle.fi/urheilu/3-12457153,"Kommentti: Riehakas juhlaperinne toimii kanavana älyttömiin vä­ki­val­lan­te­koi­hin – jotain on pielessä, kun katsoja puskee pelaajan päällä kanveesiin"
84,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457063,"Poliisi lähetti kuvia su­kue­li­mes­tään ja nyt pohditaan rangaistusta – yhtä suuri ongelma on, että hän oli pukeutunut virka-asuunsa"
85,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457155,"Kun nainen synnyttää, supistuksia pitää olla riittävästi mutta ei liikaa – tuore väitös kertoo, miten monella tavalla ylipaino vaikuttaa synnytyksiin"
86,yleuutiset,https://yle.fi/uutiset/uutiset/3-12450632,Koiran haukkuminen toi omistajalle tuomion kotirauhan rikkomisesta – hovioikeus vahvisti poik­keuk­sel­li­sen tuomion
87,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457022,Metsäkauris poukkoili Turun keskustassa ja päätyi uimaan Aurajokeen – uintireissu päättyi pin­ta­pe­las­ta­jan avustuksella maijan takapenkille
88,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457267,Fazer aikoo rakentaa uuden ma­keis­teh­taan­sa Lahteen – kau­pun­gin­joh­ta­ja Pekka Timonen: “Lahdelle koitti harvinaisen hyvä karkkipäivä”
89,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457188,Vertailu: Säh­kön­siir­to­yh­tiöi­den hin­noit­te­lus­sa on huomattavan suuria eroja
90,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457051,Thaimaalaiset man­si­kan­poi­mi­jat saapuvat hoitamaan maan suurimman man­si­kan­vil­je­li­jän sadonkorjuun
91,yleuutiset,https://yle.fi/uutiset/uutiset/3-12314941,"Venäjän YK-toimiston lä­he­tys­tö­neu­vos erosi – ""En ole koskaan hävennyt maatani näin paljon"""
92,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457156,Apinarokosta ei tule toista koronaa – iso­rok­ko­ro­ko­te tepsii ja Suomellakin on sitä varastossa
93,yleuutiset,https://yle.fi/uutiset/uutiset/3-12389665,"MS-tauti yleistyy, mutta syyt eivät ole täysin tiedossa – kehittyneet lääkkeet auttavat nyt erityisesti sairauden alkuvaiheessa"
94,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457063,"Poliisi lähetti kuvia su­kue­li­mes­tään ja nyt pohditaan rangaistusta – yhtä suuri ongelma on, että hän oli pukeutunut virka-asuunsa"
95,yleuutiset,https://yle.fi/uutiset/uutiset/3-12450632,Koiran haukkuminen toi omistajalle tuomion kotirauhan rikkomisesta – hovioikeus vahvisti poik­keuk­sel­li­sen tuomion
96,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457412,"Vuosikymmeniä kestänyt karkkiperinne itärajalla päättyi Fazerin ilmoitukseen: ""Tavattoman iso menetys"""
97,yleuutiset,https://yle.fi/uutiset/uutiset/3-12452347,"La­puan­liik­kees­tä kertovalla oopperalla on vahva väkivallan vastainen sanoma – siitä tuli yllättävän ajan­koh­tai­nen, sanoo ohjaaja"
98,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457156,Apinarokosta ei tule toista koronaa – iso­rok­ko­ro­ko­te tepsii ja Suomellakin on sitä varastossa
99,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457232,Ukrainan ensimmäinen nainen Olena Zelenska paljasti harvinaisessa haas­tat­te­lus­sa: Ei nähnyt miestään yli kahteen kuukauteen
100,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457409,Poliisi tutkii epäselvyyksiä Lappeenrannan lentoaseman avustuksissa – tut­kin­ta­pyyn­nön teki niitä myöntänyt ministeriö
101,yleuutiset,https://yle.fi/uutiset/uutiset/3-12454034,"Arkea maailmalta: Sota Ukrainassa nostaa hintoja, mutta Saksassa pai­kal­lis­lii­ken­ne on kesän ajan ennätyshalpaa – kuukausilippu yhdeksällä eurolla"
102,yleuutiset,https://yle.fi/uutisethttps://yle.fi/urheilu/3-12457153,"Kommentti: Riehakas juhlaperinne toimii kanavana älyttömiin vä­ki­val­lan­te­koi­hin – jotain on pielessä, kun katsoja puskee pelaajan päällä kanveesiin"
103,yleuutiset,https://yle.fi/uutiset/uutiset/3-12450632,Koiran haukkuminen toi omistajalle tuomion kotirauhan rikkomisesta – hovioikeus vahvisti poik­keuk­sel­li­sen tuomion
104,yleuutiset,https://yle.fi/uutiset/uutiset/3-12389665,"MS-tauti yleistyy, mutta syyt eivät ole täysin tiedossa – kehittyneet lääkkeet auttavat nyt erityisesti sairauden alkuvaiheessa"
105,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457063,"Poliisi lähetti kuvia su­kue­li­mes­tään ja nyt pohditaan rangaistusta – yhtä suuri ongelma on, että hän oli pukeutunut virka-asuunsa"
106,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457156,Apinarokosta ei tule toista koronaa – iso­rok­ko­ro­ko­te tepsii ja Suomellakin on sitä varastossa
107,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457232,Ukrainan ensimmäinen nainen Olena Zelenska paljasti harvinaisessa haas­tat­te­lus­sa: Ei nähnyt miestään yli kahteen kuukauteen
108,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457267,Fazer aikoo rakentaa uuden ma­keis­teh­taan­sa Lahteen – kau­pun­gin­joh­ta­ja Pekka Timonen: “Lahdelle koitti harvinaisen hyvä karkkipäivä”
109,yleuutiset,https://yle.fi/uutiset/uutiset/3-12453138,"Onko sinulla kolme lasta tai enemmän? Tutkimus kertoo, että ikäännyt vuosia muita nopeammin"
110,yleuutiset,https://yle.fi/uutiset/uutiset/3-12451038,"Vanhentunut käsitys hyvästä salasanasta elää sitkeästi, sanoo professori ja antaa kolme vinkkiä oman tietoturvan parantamiseen"
111,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457349,"Kunta-alan neuvottelut karilla, kouluja voi uhata lakko elokuussa – työntekijät halusivat takeet, ettei hoitajille makseta muita enemmän"
112,yleuutiset,https://yle.fi/uutiset/uutiset/3-12442165,Ralf Friman on tehnyt 28 vuotta pidemmän työuran kuin suomalaiset keskimäärin – silti töihin lähteminen ei ikinä tunnu raskaalta
113,yleuutiset,https://yle.fi/uutiset/uutiset/3-12456732,"Puo­lus­tus­voi­mat saa antaa aseitaan vapaaehtoisen maan­puo­lus­tuk­sen käyttöön ehkä jo kesällä, sanoo ministeri Kaikkonen"
114,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457051,Thaimaalaiset man­si­kan­poi­mi­jat saapuvat hoitamaan maan suurimman man­si­kan­vil­je­li­jän sadonkorjuun
115,yleuutiset,https://yle.fi/uutiset/uutiset/3-12455805,"Moskovalaiset suhtautuvat tyynesti Suomen ja Ruotsin Nato-pyr­ki­myk­siin – ""Luotan Putinin sanaan"", perustelee Aleksandr Z-symboli rinnassaan"
116,yleuutiset,https://yle.fi/uutiset/uutiset/3-12434615,"Vanhemmat pelkäsivät pahinta, kun alakoulun kuudes luokka siirrettiin yläkouluun – kävikin päinvastoin: ""En ole juuri törmännyt tällaiseen muualla"""
117,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457022,Metsäkauris poukkoili Turun keskustassa ja päätyi uimaan Aurajokeen – uintireissu päättyi pin­ta­pe­las­ta­jan avustuksella maijan takapenkille
118,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457139,Joe Biden ehdottaa uutta Tyynenmeren ta­lous­jär­jes­töä – mukana olisi Yhdysvallat mukaan lukien 13 maata 
119,yleuutiset,https://yle.fi/uutiset/uutiset/3-12442165,Ralf Friman on tehnyt 28 vuotta pidemmän työuran kuin suomalaiset keskimäärin – silti töihin lähteminen ei ikinä tunnu raskaalta
120,yleuutiset,https://yle.fi/uutiset/uutiset/3-12457005,Hel­sin­ki­läi­ses­sä ryhmäkodissa syttyi tulipalo – yksi vietiin sairaalaan
121,yleuutiset,https://yle.fi/uutiset/uutiset/3-12456732,"Puo­lus­tus­voi­mat saa antaa aseitaan vapaaehtoisen maan­puo­lus­tuk­sen käyttöön ehkä jo kesällä, sanoo ministeri Kaikkonen"
122,yleuutiset,https://yle.fi/uutiset/uutiset/3-12456543,Yhä useampi vanhus pää­kau­pun­ki­seu­dul­la käyttää liikaa alkoholia – Sivullinenkin voi ilmoittaa huolestaan vanhuksesta
